timestamp,value_a,value_b,value_c,oper,ans
12/9/2021 20:12,44,55,666, addition,765
12/9/2021 20:13,22,33,444, subtraction,-455
12/9/2021 20:21,333,4,0, division, None
12/9/2021 20:23,444,666,333, exponent, None
12/9/2021 20:49,33,44,11, multiplication,15972
12/9/2021 16:01,2000,22,1, subtraction,1977
12/9/2021 11:13,6,0,1, division, None
12/9/2021 6:25,444,55,11, multiplication,268620
12/9/2021 1:37,33,44,55, multiplication,79860
12/9/2021 1:08,99,88,1, division,1.125
12/9/2021 0:39,51,70,80,division,0.009107143
12/9/2021 0:10,3,52,83,subtraction,-132
12/8/2021 23:41,19,2,84,division,0.113095238
12/8/2021 23:13,22,15,84,multiplication,27720
12/8/2021 22:44,87,46,85,addition,218
12/8/2021 22:15,78,67,85,multiplication,444210
12/8/2021 21:46,76,49,86,division,0.018035121
12/8/2021 21:17,36,48,88,division,0.008522727
12/8/2021 20:49,41,73,88,multiplication,263384
12/8/2021 20:20,27,48,88,subtraction,-109
12/8/2021 19:51,54,22,89,division,0.027579162
12/8/2021 19:22,30,41,89,subtraction,-100
12/8/2021 18:53,99,95,90,division,0.011578947
12/8/2021 18:25,82,76,91,addition,249
12/8/2021 17:56,64,1,91,addition,156
12/8/2021 17:27,73,2,92,division,0.39673913
12/8/2021 16:58,71,92,97,division,0.007956074
12/8/2021 16:29,2,2,3, addition,7
12/8/2021 16:01,0,4,4, subtraction,-8
12/8/2021 15:32,1000,2,33, multiplication,66000
2021-12-09 20:56:39, 44.0, 33.0, 22.0, exponent, None
2021-12-09 20:56:50, 3.0, 2.0, 2.0, exponent, 81.0
2021-12-09 22:04:29, 55.0, 66.0, 112.0, addition, 233.0
2021-12-10 02:38:15, 44.0, 55.0, 6.0, multiplication, 14520.0
2021-12-10 02:38:37, 4.0, 0.0, , division, None
2021-12-10 02:38:59, 55.0, 2.0, , exponent, 3025.0
2021-12-10 02:45:25, 444.0, 55.0, 2.0, multiplication, 48840.0
2021-12-10 02:45:56, 3.0, 0.0, , division, None
2021-12-10 02:46:09, 4.0, 3.0, , exponent, 64.0
2021-12-10 02:51:00, 55.0, 77.0, 3.0, multiplication, 12705.0
2021-12-10 02:53:06, 55.0, 77.0, 2.0, multiplication, 8470.0
2021-12-10 02:53:31, 5.0, 0.0, , division, None
2021-12-10 02:53:42, 2.0, 3.0, , exponent, 8.0
2021-12-10 03:01:33, 6.0, 7.0, 4.0, multiplication, 168.0
2021-12-10 03:01:46, 5.0, 0.0, , division, None
