,value_a,value_b,value_c,Dividend,answers
0,173,98,4,0.441326531,0.4413265306122449
1,578,12,44,1.09469697,1.0946969696969697
2,225,1,21,10.71428571,10.714285714285714
3,530,84,36,0.17526455,0.17526455026455026
4,709,44,39,0.413170163,0.41317016317016314
5,279,47,64,0.09275266,0.09275265957446809
6,297,76,15,0.260526316,0.26052631578947366
7,510,41,83,0.149867764,0.14986776373787836
8,534,50,35,0.305142857,0.30514285714285716
9,464,27,92,0.186795491,0.18679549114331725
10,960,87,80,0.137931034,0.13793103448275862
11,908,65,40,0.349230769,0.34923076923076923
